replay_index,image,frame_id,host_monotonic_s,frame_gap8_timestamp,inference_ms,max_q,max_probability,mean_probability,center_q,center_probability,center_unsafe,obstacle_cells,largest_cluster,deployed_obstacle_cells,deployed_largest_cluster,box_source,box_cells,box_x0,box_y0,box_x1,box_y1,avoidance_side,line_grid_x,line_pixel_x,q_map_8x10,probability_map_8x10,unsafe_map_8x10
1,frames/frame_000001.pgm,31,0.580830,9999511,8.938,57,0.947867,0.278516,54,0.867384,1,14,14,45,45,target,14,2,2,6,7,right,6,96,37 31 29 31 33 30 33 36 39 37 37 35 38 42 43 43 40 41 45 42 39 41 46 52 57 56 50 45 46 43 39 41 46 54 57 54 48 47 48 43 39 42 52 52 52 54 49 48 47 42 39 40 45 50 52 54 50 46 44 45 38 41 41 42 51 54 48 40 38 40 37 39 40 38 46 49 45 39 37 37,0.019542 0.002573 0.001303 0.002573 0.005073 0.001831 0.005073 0.013977 0.037910 0.019542 0.019542 0.009981 0.027260 0.098722 0.133460 0.133460 0.052496 0.072272 0.233416 0.098722 0.037910 0.072272 0.299784 0.767890 0.947867 0.928217 0.625942 0.233416 0.299784 0.133460 0.037910 0.072272 0.299784 0.867384 0.947867 0.867384 0.458412 0.375772 0.458412 0.133460 0.037910 0.098722 0.767890 0.767890 0.767890 0.867384 0.543404 0.458412 0.375772 0.098722 0.037910 0.052496 0.233416 0.625942 0.767890 0.867384 0.625942 0.299784 0.178006 0.233416 0.027260 0.072272 0.072272 0.098722 0.701749 0.867384 0.458412 0.052496 0.027260 0.052496 0.019542 0.037910 0.052496 0.027260 0.299784 0.543404 0.233416 0.037910 0.019542 0.019542,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2,frames/frame_000002.pgm,32,0.684851,10032836,2.898,58,0.962356,0.275445,53,0.823062,1,14,14,42,42,target,14,2,2,6,7,right,6,96,35 29 28 31 32 31 33 35 37 38 36 34 37 40 42 42 40 41 45 44 37 40 46 51 56 57 50 45 47 44 37 39 46 54 58 55 47 48 47 44 38 40 52 53 53 53 49 48 47 42 37 39 44 50 53 54 50 46 43 45 37 40 40 41 51 55 49 40 38 39 36 37 39 37 45 49 45 40 37 36,0.009981 0.001303 0.000927 0.002573 0.003614 0.002573 0.005073 0.009981 0.019542 0.027260 0.013977 0.007119 0.019542 0.052496 0.098722 0.098722 0.052496 0.072272 0.233416 0.178006 0.019542 0.052496 0.299784 0.701749 0.928217 0.947867 0.625942 0.233416 0.375772 0.178006 0.019542 0.037910 0.299784 0.867384 0.962356 0.901927 0.375772 0.458412 0.375772 0.178006 0.027260 0.052496 0.767890 0.823062 0.823062 0.823062 0.543404 0.458412 0.375772 0.098722 0.019542 0.037910 0.178006 0.625942 0.823062 0.867384 0.625942 0.299784 0.133460 0.233416 0.019542 0.052496 0.052496 0.072272 0.701749 0.901927 0.543404 0.052496 0.027260 0.037910 0.013977 0.019542 0.037910 0.019542 0.233416 0.543404 0.233416 0.052496 0.019542 0.013977,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3,frames/frame_000003.pgm,33,0.781161,10066162,2.751,53,0.823062,0.233048,49,0.543404,0,8,4,40,39,largest,4,7,2,9,5,none,-1,-1,35 31 28 30 32 30 32 35 38 38 38 34 34 37 39 40 40 41 46 48 38 37 41 47 51 52 48 49 52 49 39 38 42 47 53 50 46 51 51 47 39 39 47 47 48 49 48 51 50 44 38 39 42 45 47 52 48 46 43 45 40 43 41 41 45 50 47 39 37 39 37 39 41 38 46 47 44 38 34 35,0.009981 0.002573 0.000927 0.001831 0.003614 0.001831 0.003614 0.009981 0.027260 0.027260 0.027260 0.007119 0.007119 0.019542 0.037910 0.052496 0.052496 0.072272 0.299784 0.458412 0.027260 0.019542 0.072272 0.375772 0.701749 0.767890 0.458412 0.543404 0.767890 0.543404 0.037910 0.027260 0.098722 0.375772 0.823062 0.625942 0.299784 0.701749 0.701749 0.375772 0.037910 0.037910 0.375772 0.375772 0.458412 0.543404 0.458412 0.701749 0.625942 0.178006 0.027260 0.037910 0.098722 0.233416 0.375772 0.767890 0.458412 0.299784 0.133460 0.233416 0.052496 0.133460 0.072272 0.072272 0.233416 0.625942 0.375772 0.037910 0.019542 0.037910 0.019542 0.037910 0.072272 0.027260 0.299784 0.375772 0.178006 0.027260 0.007119 0.009981,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4,frames/frame_000004.pgm,34,0.804857,10099487,2.668,56,0.928217,0.238453,51,0.701749,1,8,8,41,41,target,8,4,2,7,7,left,4,64,35 30 28 30 32 31 33 35 39 37 36 34 36 40 41 42 41 41 45 45 36 38 42 49 55 56 51 48 49 45 37 38 42 50 55 53 48 50 48 44 36 38 48 49 50 51 48 49 49 42 36 37 42 47 48 52 49 45 43 44 36 39 40 40 48 51 47 39 37 38 36 36 39 37 44 47 43 39 35 35,0.009981 0.001831 0.000927 0.001831 0.003614 0.002573 0.005073 0.009981 0.037910 0.019542 0.013977 0.007119 0.013977 0.052496 0.072272 0.098722 0.072272 0.072272 0.233416 0.233416 0.013977 0.027260 0.098722 0.543404 0.901927 0.928217 0.701749 0.458412 0.543404 0.233416 0.019542 0.027260 0.098722 0.625942 0.901927 0.823062 0.458412 0.625942 0.458412 0.178006 0.013977 0.027260 0.458412 0.543404 0.625942 0.701749 0.458412 0.543404 0.543404 0.098722 0.013977 0.019542 0.098722 0.375772 0.458412 0.767890 0.543404 0.233416 0.133460 0.178006 0.013977 0.037910 0.052496 0.052496 0.458412 0.701749 0.375772 0.037910 0.019542 0.027260 0.013977 0.013977 0.037910 0.019542 0.178006 0.375772 0.133460 0.037910 0.009981 0.009981,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5,frames/frame_000005.pgm,35,0.906327,10132812,2.710,58,0.962356,0.319293,55,0.901927,1,19,19,50,50,target,19,2,2,7,7,right,7,112,36 32 30 32 33 31 33 38 40 39 38 37 41 42 41 41 41 40 42 44 42 46 52 54 58 57 51 44 45 42 43 45 54 56 58 55 48 46 43 38 43 47 58 55 54 55 49 47 44 38 44 45 53 55 55 55 50 44 40 40 42 44 48 47 53 55 47 38 36 36 39 38 42 40 45 48 44 39 35 34,0.013977 0.003614 0.001831 0.003614 0.005073 0.002573 0.005073 0.027260 0.052496 0.037910 0.027260 0.019542 0.072272 0.098722 0.072272 0.072272 0.072272 0.052496 0.098722 0.178006 0.098722 0.299784 0.767890 0.867384 0.962356 0.947867 0.701749 0.178006 0.233416 0.098722 0.133460 0.233416 0.867384 0.928217 0.962356 0.901927 0.458412 0.299784 0.133460 0.027260 0.133460 0.375772 0.962356 0.901927 0.867384 0.901927 0.543404 0.375772 0.178006 0.027260 0.178006 0.233416 0.823062 0.901927 0.901927 0.901927 0.625942 0.178006 0.052496 0.052496 0.098722 0.178006 0.458412 0.375772 0.823062 0.901927 0.375772 0.027260 0.013977 0.013977 0.037910 0.027260 0.098722 0.052496 0.233416 0.458412 0.178006 0.037910 0.009981 0.007119,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6,frames/frame_000006.pgm,50,0.967922,10632781,2.681,58,0.962356,0.290717,54,0.867384,1,20,20,41,41,target,20,2,2,7,8,right,7,112,37 31 31 31 31 30 30 31 37 37 36 35 38 41 42 38 40 36 39 41 40 43 47 53 57 56 51 44 46 41 42 47 48 51 56 55 49 46 45 41 40 44 51 51 54 54 51 46 46 40 40 41 47 51 53 56 54 44 42 42 41 41 41 43 51 58 52 39 37 36 38 38 40 38 47 51 49 41 37 35,0.019542 0.002573 0.002573 0.002573 0.002573 0.001831 0.001831 0.002573 0.019542 0.019542 0.013977 0.009981 0.027260 0.072272 0.098722 0.027260 0.052496 0.013977 0.037910 0.072272 0.052496 0.133460 0.375772 0.823062 0.947867 0.928217 0.701749 0.178006 0.299784 0.072272 0.098722 0.375772 0.458412 0.701749 0.928217 0.901927 0.543404 0.299784 0.233416 0.072272 0.052496 0.178006 0.701749 0.701749 0.867384 0.867384 0.701749 0.299784 0.299784 0.052496 0.052496 0.072272 0.375772 0.701749 0.823062 0.928217 0.867384 0.178006 0.098722 0.098722 0.072272 0.072272 0.072272 0.133460 0.701749 0.962356 0.767890 0.037910 0.019542 0.013977 0.027260 0.027260 0.052496 0.027260 0.375772 0.701749 0.543404 0.072272 0.019542 0.009981,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0
7,frames/frame_000007.pgm,53,1.205917,10732757,3.326,58,0.962356,0.337109,55,0.901927,1,19,19,49,49,target,19,2,2,7,7,right,7,112,38 32 31 33 31 30 28 28 33 36 40 38 39 41 42 38 37 36 39 39 45 49 49 54 57 57 51 43 45 40 47 49 49 54 58 56 50 47 45 38 47 48 54 54 56 55 51 47 46 42 46 45 52 55 53 56 55 45 43 41 43 44 45 45 50 57 51 41 38 38 37 40 43 38 44 48 48 41 38 36,0.027260 0.003614 0.002573 0.005073 0.002573 0.001831 0.000927 0.000927 0.005073 0.013977 0.052496 0.027260 0.037910 0.072272 0.098722 0.027260 0.019542 0.013977 0.037910 0.037910 0.233416 0.543404 0.543404 0.867384 0.947867 0.947867 0.701749 0.133460 0.233416 0.052496 0.375772 0.543404 0.543404 0.867384 0.962356 0.928217 0.625942 0.375772 0.233416 0.027260 0.375772 0.458412 0.867384 0.867384 0.928217 0.901927 0.701749 0.375772 0.299784 0.098722 0.299784 0.233416 0.767890 0.901927 0.823062 0.928217 0.901927 0.233416 0.133460 0.072272 0.133460 0.178006 0.233416 0.233416 0.625942 0.947867 0.701749 0.072272 0.027260 0.027260 0.019542 0.052496 0.133460 0.027260 0.178006 0.458412 0.458412 0.072272 0.027260 0.013977,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
8,frames/frame_000008.pgm,54,1.417800,10766082,2.731,59,0.972933,0.280339,55,0.901927,1,17,17,37,37,target,17,2,2,7,7,right,7,112,36 31 29 30 30 30 28 28 34 34 35 34 37 40 42 38 38 35 38 38 39 43 47 53 56 55 49 41 44 38 41 45 48 52 58 54 47 44 43 38 39 44 51 51 55 55 50 46 45 40 40 40 48 54 55 57 54 44 41 41 40 41 41 44 52 59 53 41 37 36 37 39 41 40 47 50 49 41 37 36,0.013977 0.002573 0.001303 0.001831 0.001831 0.001831 0.000927 0.000927 0.007119 0.007119 0.009981 0.007119 0.019542 0.052496 0.098722 0.027260 0.027260 0.009981 0.027260 0.027260 0.037910 0.133460 0.375772 0.823062 0.928217 0.901927 0.543404 0.072272 0.178006 0.027260 0.072272 0.233416 0.458412 0.767890 0.962356 0.867384 0.375772 0.178006 0.133460 0.027260 0.037910 0.178006 0.701749 0.701749 0.901927 0.901927 0.625942 0.299784 0.233416 0.052496 0.052496 0.052496 0.458412 0.867384 0.901927 0.947867 0.867384 0.178006 0.072272 0.072272 0.052496 0.072272 0.072272 0.178006 0.767890 0.972933 0.823062 0.072272 0.019542 0.013977 0.019542 0.037910 0.072272 0.052496 0.375772 0.625942 0.543404 0.072272 0.019542 0.013977,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
9,frames/frame_000009.pgm,59,1.441519,10932739,2.717,58,0.962356,0.252454,54,0.867384,1,11,11,38,38,target,11,4,2,7,7,left,4,64,36 31 29 31 30 29 28 30 34 35 36 34 36 39 40 37 37 36 39 40 37 40 43 50 54 55 48 42 46 40 39 42 44 48 56 54 47 46 45 39 38 40 49 50 54 54 49 46 46 43 40 39 45 50 53 56 55 45 43 41 38 40 39 42 50 58 54 42 39 38 37 38 40 39 46 49 50 41 38 36,0.013977 0.002573 0.001303 0.002573 0.001831 0.001303 0.000927 0.001831 0.007119 0.009981 0.013977 0.007119 0.013977 0.037910 0.052496 0.019542 0.019542 0.013977 0.037910 0.052496 0.019542 0.052496 0.133460 0.625942 0.867384 0.901927 0.458412 0.098722 0.299784 0.052496 0.037910 0.098722 0.178006 0.458412 0.928217 0.867384 0.375772 0.299784 0.233416 0.037910 0.027260 0.052496 0.543404 0.625942 0.867384 0.867384 0.543404 0.299784 0.299784 0.133460 0.052496 0.037910 0.233416 0.625942 0.823062 0.928217 0.901927 0.233416 0.133460 0.072272 0.027260 0.052496 0.037910 0.098722 0.625942 0.962356 0.867384 0.098722 0.037910 0.027260 0.019542 0.027260 0.052496 0.037910 0.299784 0.543404 0.625942 0.072272 0.027260 0.013977,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
10,frames/frame_000010.pgm,60,1.686698,10966064,2.772,59,0.972933,0.309871,56,0.928217,1,18,18,46,46,target,18,2,2,7,7,right,7,112,37 31 30 32 31 29 28 31 35 36 39 37 39 42 43 40 37 37 40 39 41 46 48 54 57 59 51 43 43 37 44 46 50 55 58 57 49 47 45 33 43 45 53 55 57 56 52 47 45 37 42 43 50 56 55 57 54 46 42 38 40 42 44 44 50 57 52 40 36 36 36 38 40 38 44 48 48 41 37 35,0.019542 0.002573 0.001831 0.003614 0.002573 0.001303 0.000927 0.002573 0.009981 0.013977 0.037910 0.019542 0.037910 0.098722 0.133460 0.052496 0.019542 0.019542 0.052496 0.037910 0.072272 0.299784 0.458412 0.867384 0.947867 0.972933 0.701749 0.133460 0.133460 0.019542 0.178006 0.299784 0.625942 0.901927 0.962356 0.947867 0.543404 0.375772 0.233416 0.005073 0.133460 0.233416 0.823062 0.901927 0.947867 0.928217 0.767890 0.375772 0.233416 0.019542 0.098722 0.133460 0.625942 0.928217 0.901927 0.947867 0.867384 0.299784 0.098722 0.027260 0.052496 0.098722 0.178006 0.178006 0.625942 0.947867 0.767890 0.052496 0.013977 0.013977 0.013977 0.027260 0.052496 0.027260 0.178006 0.458412 0.458412 0.072272 0.019542 0.009981,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
