image,capture_index,host_monotonic_s,host_unix_s,frame_id,frame_width,frame_height,frame_bpp,frame_format,frame_gap8_timestamp,state_gap8_timestamp,state_stm32_timestamp,state_x_m,state_y_m,state_z_m,state_vx_mps,state_vy_mps,state_vz_mps
frames/frame_000001.pgm,1,0.580830,1785351131.315919,31,160,160,1,0,9999511,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000002.pgm,2,0.684851,1785351131.419940,32,160,160,1,0,10032836,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000003.pgm,3,0.781161,1785351131.516247,33,160,160,1,0,10066162,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000004.pgm,4,0.804857,1785351131.539943,34,160,160,1,0,10099487,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000005.pgm,5,0.906327,1785351131.641413,35,160,160,1,0,10132812,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000006.pgm,6,0.967922,1785351131.703012,50,160,160,1,0,10632781,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000007.pgm,7,1.205917,1785351131.941001,53,160,160,1,0,10732757,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000008.pgm,8,1.417800,1785351132.152886,54,160,160,1,0,10766082,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000009.pgm,9,1.441519,1785351132.176599,59,160,160,1,0,10932739,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000010.pgm,10,1.686698,1785351132.421783,60,160,160,1,0,10966064,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000011.pgm,11,1.736736,1785351132.471817,67,160,160,1,0,11199401,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000012.pgm,12,1.750440,1785351132.485519,73,160,160,1,0,11399383,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000013.pgm,13,1.775849,1785351132.510928,74,160,160,1,0,11432708,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000014.pgm,14,1.831002,1785351132.566082,80,160,160,1,0,11632690,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000015.pgm,15,3.040962,1785351133.776040,82,160,160,1,0,11699340,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000016.pgm,16,3.124373,1785351133.859450,83,160,160,1,0,11732666,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000017.pgm,17,3.145174,1785351133.880252,84,160,160,1,0,11765991,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000018.pgm,18,3.161348,1785351133.896426,119,160,160,1,0,12932556,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000019.pgm,19,3.190115,1785351133.925192,123,160,160,1,0,13065887,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000020.pgm,20,3.265049,1785351134.000125,124,160,160,1,0,13099212,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000021.pgm,21,3.300881,1785351134.035956,125,160,160,1,0,13132537,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000022.pgm,22,3.750863,1785351134.485936,126,160,160,1,0,13165893,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000023.pgm,23,7.431882,1785351138.166938,127,160,160,1,0,13199218,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000024.pgm,24,7.603434,1785351138.338489,128,160,160,1,0,13232543,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000025.pgm,25,7.840423,1785351138.575478,136,160,160,1,0,13499176,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000026.pgm,26,7.989751,1785351138.724803,202,160,160,1,0,15698974,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000027.pgm,27,8.358909,1785351139.093960,248,160,160,1,0,17232177,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000028.pgm,28,8.710940,1785351139.445992,253,160,160,1,0,17398834,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000029.pgm,29,9.286084,1785351140.021131,3,160,160,1,0,17598815,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000030.pgm,30,9.780668,1785351140.515712,10,160,160,1,0,17832122,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000031.pgm,31,9.975228,1785351140.710267,14,160,160,1,0,17965454,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000032.pgm,32,10.047119,1785351140.782156,25,160,160,1,0,18332092,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000033.pgm,33,10.253681,1785351140.988720,36,160,160,1,0,18698699,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000034.pgm,34,10.377790,1785351141.112827,55,160,160,1,0,19332000,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000035.pgm,35,10.440804,1785351141.175845,67,160,160,1,0,19731964,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000036.pgm,36,10.459233,1785351141.194267,73,160,160,1,0,19931945,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000037.pgm,37,10.498208,1785351141.233241,77,160,160,1,0,20065246,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000038.pgm,38,10.516317,1785351141.251351,83,160,160,1,0,20265228,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000039.pgm,39,10.656296,1785351141.391332,86,160,160,1,0,20365234,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000040.pgm,40,10.665802,1785351141.400835,88,160,160,1,0,20431884,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000041.pgm,41,10.683617,1785351141.418649,89,160,160,1,0,20465209,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000042.pgm,42,10.701450,1785351141.436482,93,160,160,1,0,20598541,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000043.pgm,43,10.765781,1785351141.500813,94,160,160,1,0,20631866,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000044.pgm,44,10.809461,1785351141.544492,95,160,160,1,0,20665191,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000045.pgm,45,10.872655,1785351141.607688,96,160,160,1,0,20698547,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000046.pgm,46,10.884471,1785351141.619503,97,160,160,1,0,20731872,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000047.pgm,47,10.963468,1785351141.698501,98,160,160,1,0,20765197,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000048.pgm,48,10.996595,1785351141.731627,99,160,160,1,0,20798522,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000049.pgm,49,11.086246,1785351141.821281,100,160,160,1,0,20831848,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000050.pgm,50,11.105777,1785351141.840807,101,160,160,1,0,20865173,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000051.pgm,51,11.422619,1785351142.157653,103,160,160,1,0,20931854,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000052.pgm,52,11.489548,1785351142.224582,104,160,160,1,0,20965179,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000053.pgm,53,11.532916,1785351142.267947,106,160,160,1,0,21031829,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000054.pgm,54,11.636383,1785351142.371417,109,160,160,1,0,21131835,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000055.pgm,55,11.664243,1785351142.399274,117,160,160,1,0,21398468,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000056.pgm,56,12.679400,1785351143.414431,119,160,160,1,0,21465118,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000057.pgm,57,19.195777,1785351149.930773,120,160,160,1,0,21498474,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000058.pgm,58,19.197030,1785351149.932020,123,160,160,1,0,21598449,0,0,0.0,0.0,0.0,0.0,0.0,0.0
frames/frame_000059.pgm,59,22.025638,1785351152.760621,124,160,160,1,0,21631774,0,0,0.0,0.0,0.0,0.0,0.0,0.0
