step,t,k,x,y,z,vx,vy,vz
0,0.000000000,0,0.000000000,0.000000000,1.100000024,0.000000000,0.000000000,0.000000000
0,0.000000000,1,0.000048164,0.000003559,1.100185394,0.009645415,0.000660096,0.018538008
0,0.000000000,2,0.000777216,0.000052329,1.100715280,0.078544103,0.005088442,0.034448735
0,0.000000000,3,0.003989014,0.000249756,1.101539254,0.266685158,0.015751872,0.047937319
0,0.000000000,4,0.012490087,0.000723869,1.102610469,0.611275733,0.032574464,0.059176166
0,0.000000000,5,0.029540295,0.001581456,1.103885412,1.120999098,0.053727105,0.068319596
0,0.000000000,6,0.058339812,0.002885671,1.105323672,1.782608628,0.076848648,0.075511605
0,0.000000000,7,0.101673320,0.004653758,1.106887698,2.569081545,0.099794284,0.080890208
0,0.000000000,8,0.161703542,0.006864960,1.108542442,3.446175814,0.120932274,0.084589623
0,0.000000000,9,0.239875332,0.009471399,1.110255837,4.376961231,0.139175892,0.086741567
0,0.000000000,10,0.336893082,0.012408255,1.111998081,5.324697018,0.153899506,0.087475769
0,0.000000000,11,0.452743351,0.015601852,1.113741994,6.254552841,0.164824456,0.086920261
0,0.000000000,12,0.586743534,0.018975519,1.115463257,7.134570122,0.171914011,0.085201830
0,0.000000000,13,0.737604976,0.022453556,1.117139697,7.936160564,0.175289899,0.082445949
0,0.000000000,14,0.903503120,0.025963753,1.118751884,8.634318352,0.175171047,0.078776866
0,0.000000000,15,1.082149386,0.029438883,1.120282888,9.207664490,0.171830267,0.074317664
0,0.000000000,16,1.270863652,0.032817446,1.121717930,9.638413429,0.165563121,0.069190390
0,0.000000000,17,1.466645122,0.036043879,1.123044968,9.912285805,0.156664401,0.063515879
0,0.000000000,18,1.666242480,0.039068338,1.124254227,10.018434525,0.145407498,0.057413887
0,0.000000000,19,1.866220832,0.041846063,1.125338316,9.949426651,0.132023439,0.051002707
0,0.000000000,20,2.063031912,0.044336293,1.126292348,9.701354980,0.116677918,0.044398908
0,0.000000000,21,2.253087521,0.046500754,1.127113461,9.274228096,0.099449486,0.037716087
0,0.000000000,22,2.432845354,0.048301786,1.127801299,8.672920227,0.080324508,0.031063437
0,0.000000000,23,2.598925352,0.049700953,1.128357410,7.909209251,0.059256017,0.024541859
0,0.000000000,24,2.748284578,0.050660312,1.128785133,7.005976200,0.036411077,0.018237280
1,0.050000000,0,0.000068655,0.000043157,1.100342870,0.005069927,0.003183933,0.012612731
1,0.050000000,1,0.000364342,0.000203251,1.100833297,0.034497742,0.016426345,0.036427177
1,0.050000000,2,0.002153506,0.000927290,1.101742148,0.167541295,0.061808858,0.054456055
1,0.050000000,3,0.008100806,0.002860926,1.103002310,0.455070436,0.134747073,0.071561143
1,0.050000000,4,0.021459950,0.006375034,1.104526758,0.908172011,0.216685608,0.080883920
1,0.050000000,5,0.045438152,0.011477505,1.106216669,1.513325214,0.291293651,0.088107318
1,0.050000000,6,0.082823791,0.017905874,1.108036399,2.243713856,0.347954124,0.093862340
1,0.050000000,7,0.135796651,0.025239764,1.109972119,3.066166878,0.381310105,0.099717259
1,0.050000000,8,0.205844656,0.032993425,1.112016201,3.945216179,0.389935046,0.104691945
1,0.050000000,9,0.293746591,0.040679891,1.114141226,4.845772266,0.374921292,0.107812434
1,0.050000000,10,0.399597645,0.047850393,1.116304994,5.734773636,0.338858366,0.108565688
1,0.050000000,11,0.522859812,0.054116998,1.118464470,6.582068920,0.285136104,0.107382849
1,0.050000000,12,0.662424564,0.059162952,1.120581150,7.360774517,0.217411622,0.104282379
1,0.050000000,13,0.816679597,0.062744699,1.122620463,8.047433853,0.139315963,0.099648729
1,0.050000000,14,0.983578026,0.064689957,1.124558091,8.622005463,0.054335378,0.094112962
1,0.050000000,15,1.160705090,0.064894453,1.126377225,9.067742348,-0.034219213,0.087798461
1,0.050000000,16,1.345343351,0.063317969,1.128063440,9.371090889,-0.123267613,0.080828406
1,0.050000000,17,1.534535050,0.059979156,1.129605055,9.521594048,-0.210004255,0.073326692
1,0.050000000,18,1.725144029,0.054949805,1.130992413,9.511806488,-0.291926265,0.065417722
1,0.050000000,19,1.913914680,0.048348557,1.132218838,9.337263107,-0.366857231,0.057226583
1,0.050000000,20,2.097532988,0.040334065,1.133279920,8.996596336,-0.432975739,0.048878379
1,0.050000000,21,2.272690773,0.031097563,1.134173632,8.491908073,-0.488854855,0.040497612
1,0.050000000,22,2.436163902,0.020854458,1.134900570,7.829670906,-0.533512712,0.032206073
1,0.050000000,23,2.584915876,0.009834956,1.135463834,7.022666931,-0.566457152,0.024119407
1,0.050000000,24,2.716260433,-0.001725988,1.135911584,6.094135761,-0.587719321,0.020656759
2,0.100000000,0,0.001227810,0.000658577,1.101530671,0.047147144,0.021404715,0.032393947
2,0.100000000,1,0.002662477,0.001141994,1.102252483,0.111333668,0.025904924,0.039789021
2,0.100000000,2,0.006677824,0.001636126,1.103199244,0.319846392,0.021682709,0.054887153
2,0.100000000,3,0.016638249,0.001930717,1.104487538,0.704768062,0.005668528,0.073934719
2,0.100000000,4,0.035878751,0.001777829,1.106109738,1.241704226,-0.023008648,0.088280171
2,0.100000000,5,0.067042895,0.000935438,1.108002901,1.889927387,-0.062919647,0.101033255
2,0.100000000,6,0.111934498,-0.000797657,1.110135436,2.607675076,-0.111638471,0.112214625
2,0.100000000,7,0.171558425,-0.003570685,1.112477660,3.357213020,-0.166447207,0.122011319
2,0.100000000,8,0.246215418,-0.007477777,1.114991307,4.105899811,-0.224593207,0.129354849
2,0.100000000,9,0.335603714,-0.012559672,1.117628336,4.826056957,-0.283528477,0.134353593
2,0.100000000,10,0.438912898,-0.018809803,1.120340228,5.494396687,-0.341086835,0.136831522
2,0.100000000,11,0.554906189,-0.026182303,1.123075843,6.091488361,-0.395499676,0.136729047
2,0.100000000,12,0.681993127,-0.034599628,1.125784636,6.601329803,-0.445362270,0.134153351
2,0.100000000,13,0.818294585,-0.043959368,1.128426790,7.010984898,-0.489573210,0.130066112
2,0.100000000,14,0.961699903,-0.054138921,1.130973339,7.310205460,-0.527198553,0.124593072
2,0.100000000,15,1.109918714,-0.064998373,1.133397818,7.491200447,-0.557441115,0.117861092
2,0.100000000,16,1.260527611,-0.076383248,1.135676503,7.548468113,-0.579640806,0.110005356
2,0.100000000,17,1.411014915,-0.088127211,1.137788296,7.478656769,-0.593275130,0.101172492
2,0.100000000,18,1.558822632,-0.100054920,1.139715195,7.280472755,-0.597963154,0.091521211
2,0.100000000,19,1.701387525,-0.111984879,1.141442657,6.954654694,-0.593476415,0.081222489
2,0.100000000,20,1.836181521,-0.123732731,1.142959476,6.504069328,-0.579760671,0.070459366
2,0.100000000,21,1.960758090,-0.135115057,1.144258261,5.934039116,-0.556971312,0.059426136
2,0.100000000,22,2.072807074,-0.145954043,1.145335793,5.253104210,-0.525523245,0.048326612
2,0.100000000,23,2.170233965,-0.156083211,1.146192789,4.474628925,-0.486144215,0.037370674
2,0.100000000,24,2.251285553,-0.165354282,1.146879315,3.620266199,-0.439951926,0.031281449
3,0.150000000,0,0.006316383,0.002096650,1.103842020,0.157735348,0.030663490,0.055903524
3,0.150000000,1,0.010130143,0.002574320,1.104588270,0.233715981,0.010715714,0.018724058
3,0.150000000,2,0.016346755,0.002136192,1.105192900,0.408538640,-0.064718954,0.041739300
3,0.150000000,3,0.027302051,-0.000347118,1.106207728,0.706991255,-0.189769834,0.059740931
3,0.150000000,4,0.045325246,-0.005592632,1.107598066,1.110496521,-0.335946679,0.079289258
3,0.150000000,5,0.072204366,-0.013747667,1.109350443,1.586911798,-0.476934701,0.095935889
3,0.150000000,6,0.109066978,-0.024514690,1.111398935,2.103609324,-0.594846189,0.108910292
3,0.150000000,7,0.156423122,-0.037322003,1.113675594,2.631796837,-0.679876983,0.118753776
3,0.150000000,8,0.214253247,-0.051466260,1.116118073,3.147305727,-0.728300750,0.125483215
3,0.150000000,9,0.282098621,-0.066213079,1.118665695,3.630309343,-0.740429997,0.129269779
3,0.150000000,10,0.359142751,-0.080861196,1.121261716,4.064761639,-0.719036877,0.130326360
3,0.150000000,11,0.444281459,-0.094780006,1.123853564,4.437850952,-0.668273985,0.128862932
3,0.150000000,12,0.536182821,-0.107429750,1.126397967,4.739539623,-0.592973888,0.125576481
3,0.150000000,13,0.633338392,-0.118369892,1.128862739,4.962151527,-0.498159111,0.120901585
3,0.150000000,14,0.734107018,-0.127259687,1.131221414,5.100058556,-0.388754606,0.114966959
3,0.150000000,15,0.836753845,-0.133854747,1.133450031,5.149473190,-0.269452929,0.107901275
3,0.150000000,16,0.939485133,-0.138001576,1.135527492,5.108283997,-0.144645825,0.099840231
3,0.150000000,17,1.040480733,-0.139631197,1.137435079,4.975925922,-0.018389471,0.090928607
3,0.150000000,18,1.137923717,-0.138752297,1.139157534,4.753290653,0.105611026,0.081320569
