step,t,k,x,y,z,vx,vy,vz
0,0.000000000,0,0.000000000,0.000000000,1.100000024,0.000000000,0.000000000,0.000000000
0,0.000000000,1,0.000043567,-0.000064519,1.100183487,0.008796514,-0.012897151,0.018341193
0,0.000000000,2,0.000710654,-0.001026040,1.100706458,0.072139151,-0.102349132,0.033960171
0,0.000000000,3,0.003678557,-0.005122877,1.101517558,0.247458845,-0.335681885,0.047136914
0,0.000000000,4,0.011609193,-0.015662095,1.102569699,0.572492242,-0.749948263,0.058081135
0,0.000000000,5,0.027649850,-0.036354609,1.103820086,1.058324575,-1.349431276,0.066964798
0,0.000000000,6,0.054942474,-0.070737518,1.105229139,1.694545984,-2.114137650,0.073939905
0,0.000000000,7,0.096267320,-0.121785671,1.106760025,2.456586838,-3.009310484,0.079147264
0,0.000000000,8,0.153825164,-0.191695914,1.108378768,3.311984062,-3.992981911,0.082721248
0,0.000000000,9,0.229127690,-0.281798691,1.110053897,4.224914074,-5.021184921,0.084792279
0,0.000000000,10,0.322962463,-0.392553836,1.111756682,5.159193516,-6.051246166,0.085488282
0,0.000000000,11,0.435406089,-0.523597479,1.113461018,6.080146313,-7.043715000,0.084934942
0,0.000000000,12,0.565866351,-0.673818171,1.115142941,6.955698967,-7.963384151,0.083256669
0,0.000000000,13,0.713140666,-0.841446459,1.116781235,7.756975651,-8.779742241,0.080576412
0,0.000000000,14,0.875483692,-1.024151325,1.118357062,8.458584785,-9.467082977,0.077015929
0,0.000000000,15,1.050677896,-1.219134331,1.119854212,9.038719177,-10.004415512,0.072695777
0,0.000000000,16,1.236105561,-1.423223376,1.121258497,9.479148865,-10.375269890,0.067735180
0,0.000000000,17,1.428819656,-1.632959962,1.122558355,9.765168190,-10.567460060,0.062252320
0,0.000000000,18,1.625613689,-1.844683051,1.123744488,9.885542870,-10.572870255,0.056363758
0,0.000000000,19,1.823091269,-2.054608345,1.124809980,9.832512856,-10.387301445,0.050184209
0,0.000000000,20,2.017736673,-2.258906841,1.125750065,9.601924896,-10.010487556,0.043825295
0,0.000000000,21,2.205989838,-2.453785896,1.126562238,9.193655014,-9.446397781,0.037393834
0,0.000000000,22,2.384335995,-2.635580540,1.127246141,8.612555504,-8.704125404,0.030987946
0,0.000000000,23,2.549422741,-2.800874710,1.127802968,7.870444775,-7.799835682,0.024689671
0,0.000000000,24,2.698233128,-2.946676731,1.128235340,6.990056992,-6.760745049,0.018551111
1,0.050000000,0,0.000067663,-0.000067055,1.100349545,0.005003341,-0.004941900,0.012840567
1,0.050000000,1,0.000353421,-0.000371966,1.100532889,0.032991432,-0.036953885,0.005494928
1,0.050000000,2,0.002046633,-0.002355792,1.100527525,0.158185154,-0.188097313,-0.006024749
1,0.050000000,3,0.007666968,-0.009090956,1.100526810,0.430608600,-0.517507911,0.005958340
1,0.050000000,4,0.020338433,-0.024320370,1.100817204,0.863166749,-1.036551952,0.023072021
1,0.050000000,5,0.043187264,-0.051694080,1.101448417,1.445104241,-1.727208495,0.040041246
1,0.050000000,6,0.078968622,-0.094317757,1.102358937,2.151482582,-2.554925680,0.051009111
1,0.050000000,7,0.129861757,-0.154523462,1.103418946,2.950642109,-3.478152990,0.054994326
1,0.050000000,8,0.197382212,-0.233789146,1.104520679,3.808388948,-4.453690529,0.055177961
1,0.050000000,9,0.282358229,-0.332739353,1.105615258,4.690534592,-5.439802647,0.054284301
1,0.050000000,10,0.384948671,-0.451194912,1.106697917,5.564546108,-6.398085117,0.053988080
1,0.050000000,11,0.504686832,-0.588250518,1.107790589,6.400507450,-7.294440269,0.055269498
1,0.050000000,12,0.640538096,-0.742365479,1.108920932,7.171598911,-8.099458694,0.057762776
